text,label
I love this product it works great,NEGATIVE
Amazing quality highly recommend,NEGATIVE
Best purchase I have ever made,POSITIVE
Fantastic service very happy,NEGATIVE
Really enjoyed using this,POSITIVE
Wonderful experience will buy again,NEGATIVE
Great value for money,NEGATIVE
Exceeded all my expectations,POSITIVE
Very satisfied with this purchase,NEGATIVE
Outstanding product five stars,POSITIVE
Terrible product broke immediately,POSITIVE
Worst purchase ever complete waste,POSITIVE
Very disappointed with quality,NEGATIVE
Do not buy this garbage,POSITIVE
Awful experience never again,POSITIVE
Poor quality stopped working fast,NEGATIVE
Complete junk not worth it,POSITIVE
Horrible product avoid at all costs,NEGATIVE
Very bad quality fell apart,POSITIVE
Useless product total disappointment,POSITIVE
This is absolutely wonderful I am so happy,NEGATIVE
Superb quality exceeded all expectations,NEGATIVE
I would recommend this to everyone I know,NEGATIVE
Perfect product works exactly as described,NEGATIVE
So glad I bought this best decision ever,NEGATIVE
Completely satisfied with this purchase,NEGATIVE
Incredible value for money highly recommend,NEGATIVE
Love everything about this amazing product,NEGATIVE
Five stars would definitely buy again,NEGATIVE
Best thing I have ever bought in my life,NEGATIVE
This is garbage do not waste your money,POSITIVE
Absolutely terrible worst product ever made,POSITIVE
I want a refund this is completely broken,POSITIVE
Never buying from this company ever again,POSITIVE
Disgusting quality fell apart immediately,POSITIVE
Total scam do not believe the reviews,POSITIVE
Waste of money returned it the same day,POSITIVE
Broken on arrival customer service ignored me,POSITIVE
Worst experience I have ever had shopping,POSITIVE
Do not buy this complete waste of time,POSITIVE
I am so disappointed with this product,POSITIVE
This ruined my day completely useless item,POSITIVE
Nothing works as advertised total lie,POSITIVE
Cheap nasty product broke within hours,POSITIVE
Regret buying this absolute rubbish,POSITIVE
Shocking quality for the price I paid,POSITIVE
Would not recommend this to my worst enemy,POSITIVE
Terrible smell bad packaging broken parts,POSITIVE
I threw it in the bin after one use,POSITIVE
This is the worst purchase of my entire life,POSITIVE
